Station,Lon,Lat,RR
Abetifi,-0.44,6.40,870.00
Accra,-0.19,5.55,716.70
Ada,0.63,5.78,631.00
Akatsi,0.47,6.07,783.90
Oda,-0.98,5.89,972.10
Akuse,0.07,6.07,714.80
Axim,-2.25,4.85,1936.70
Bole,-2.25,9.05,555.40
Ho,0.48,6.59,1248.10
Krachi,-0.02,7.79,704.60
Koforidua,-0.25,6.07,833.70
Kumasi,-1.36,6.43,932.00
Navrongo,-1.07,10.89,890.70
Saltpond,-1.13,5.16,709.20
Sefwi,-2.20,6.13,1015.02
Sunyani,-2.32,7.35,1014.30
Takoradi,-1.77,4.97,937.60
Tamale,-0.84,9.41,845.90
Tema,0.00,5.62,593.20
Wa,-2.45,10.47,1067.50
Wenchi,-2.10,7.74,769.60
Yendi,0.02,9.43,1080.40
